X1,X2,X3,C1,C2,C3,Y
9.25,9.65,0.92,85.5625,93.1225,0.8464,15.37
3.73,7.19,8.59,13.9129,51.6961,73.7881,9.75
4.13,3.65,7.6,17.0569,13.3225,57.76,8.37
5.6,7.16,8.39,31.36,51.2656,70.3921,17.38
8.51,6.92,6.19,72.4201,47.8864,38.3161,20.84
0.35,6.24,7.66,0.1225,38.9376,58.6756,4.44
3.71,2.72,2.11,13.7641,7.3984,4.4521,6.57
6.15,4.14,9.02,37.8225,17.1396,81.3604,16.06
3.31,5,6.72,10.9561,25,45.1584,3.74
7.08,2.99,9.42,50.1264,8.9401,88.7364,10.68
7.12,3.11,0.2,50.6944,9.6721,0.04,10.98
1.3,9.48,7.07,1.69,89.8704,49.9849,3.52
2.7,2.17,9.76,7.29,4.7089,95.2576,6.49
4.58,5.05,8.16,20.9764,25.5025,66.5856,12.82
8.26,4.44,6.2,68.2276,19.7136,38.44,17.08
7.73,4.85,1.52,59.7529,23.5225,2.3104,12.63
4.32,4.32,1.56,18.6624,18.6624,2.4336,4.63
1.95,2.07,2.17,3.8025,4.2849,4.7089,4.96
0.5,7.03,8.53,0.25,49.4209,72.7609,6.84
7.03,5.86,2.98,49.4209,34.3396,8.8804,11.24
7.87,7.51,5.85,61.9369,56.4001,34.2225,16.75
