Prefesión,Edad,Sexo,Universidad,Ciudad,Salario bruto ($),¿Recomendaria estudiar su prefesión?
Ing. en Finanzas,0.2750,Hombre,Pública,MTY,0.607656,Sí
Lic. en Economía,0.4250,Hombre,Pública,CDMX,0.440191,No
Ing. en Finanzas,0.5000,Hombre,Privada,CDMX,0.918660,Sí
Lic. en Economía,0.7250,Mujer,Pública,CDMX,0.435407,No
Lic. en Economía,0.3750,Hombre,Privada,CDMX,0.732057,Sí
Lic. en Economía,0.1750,Hombre,Privada,CDMX,0.473684,Sí
Lic. en Economía,0.3500,Hombre,Pública,CDMX,0.320574,No
Lic. en Actuaría,0.1500,Hombre,Pública,CDMX,0.679426,Sí
Ing. en Finanzas,1.0000,Hombre,Pública,GDA,0.684211,Sí
Lic. en Actuaría,0.8500,Hombre,Pública,MTY,0.660287,Sí
Lic. en Economía,0.3750,Hombre,Pública,CDMX,0.196172,No
Lic. en Economía,0.1500,Hombre,Pública,CDMX,0.320574,No
Lic. en Economía,0.7250,Mujer,Pública,GDA,0.057416,No
Lic. en Economía,0.4000,Hombre,Privada,MTY,0.669856,Sí
Ing. en Finanzas,0.3750,Hombre,Pública,MTY,0.674641,Sí
Lic. en Economía,0.4750,Mujer,Pública,MTY,0.296651,No
Lic. en Economía,0.4750,Hombre,Pública,CDMX,0.511962,Sí
Lic. en Economía,0.6250,Hombre,Privada,MTY,0.631579,Sí
Lic. en Economía,0.2500,Hombre,Pública,MTY,0.478469,Sí
Lic. en Economía,0.1000,Hombre,Privada,CDMX,0.555024,Sí
Ing. en Finanzas,0.2750,Hombre,Pública,CDMX,0.368421,No
Lic. en Economía,0.0250,Hombre,Pública,MTY,0.478469,No
Lic. en Economía,0.5750,Hombre,Privada,CDMX,0.851675,Sí
Lic. en Economía,0.4000,Hombre,Pública,CDMX,0.478469,No
Ing. en Finanzas,0.1750,Hombre,Privada,CDMX,0.607656,Sí
Ing. en Finanzas,0.7250,Mujer,Pública,CDMX,0.263158,No
Lic. en Economía,0.3750,Hombre,Pública,MTY,0.545455,Sí
Lic. en Economía,0.0000,Hombre,Pública,CDMX,0.454545,No
Ing. en Finanzas,0.4500,Hombre,Pública,CDMX,0.488038,No
Ing. en Finanzas,0.4500,Mujer,Pública,GDA,0.334928,No
Ing. en Finanzas,0.5750,Hombre,Pública,GDA,0.473684,Sí
Lic. en Economía,0.0000,Hombre,Pública,MTY,0.421053,Sí
Ing. en Finanzas,0.1500,Hombre,Pública,CDMX,0.444976,Sí
Ing. en Finanzas,0.3250,Hombre,Pública,MTY,0.669856,No
Lic. en Economía,0.4000,Hombre,Pública,MTY,0.511962,Sí
Lic. en Actuaría,0.0250,Hombre,Pública,MTY,0.507177,No
Ing. en Finanzas,0.5750,Hombre,Pública,CDMX,0.631579,Sí
Lic. en Economía,0.2500,Hombre,Pública,MTY,0.411483,No
Ing. en Finanzas,0.6250,Hombre,Pública,MTY,0.698565,Sí
Lic. en Economía,0.0250,Hombre,Pública,CDMX,0.578947,Sí
Ing. en Finanzas,0.4250,Hombre,Pública,MTY,0.617225,Sí
Lic. en Economía,0.3250,Hombre,Pública,GDA,0.354067,No
Lic. en Economía,0.5250,Hombre,Pública,CDMX,0.311005,No
Lic. en Economía,0.3500,Hombre,Privada,GDA,0.511962,Sí
Lic. en Economía,0.2250,Hombre,Pública,MTY,0.468900,Sí
Lic. en Economía,0.3500,Hombre,Pública,MTY,0.660287,Sí
Ing. en Finanzas,0.1000,Hombre,Pública,CDMX,0.416268,Sí
Lic. en Economía,0.1750,Hombre,Pública,CDMX,0.540670,Sí
Ing. en Finanzas,0.2750,Hombre,Pública,CDMX,0.626794,Sí
Lic. en Actuaría,0.2250,Hombre,Privada,CDMX,0.712919,Sí
Lic. en Economía,0.3500,Hombre,Pública,CDMX,0.416268,Sí
Ing. en Finanzas,0.2500,Hombre,Pública,CDMX,0.507177,Sí
Lic. en Actuaría,1.0000,Hombre,Privada,GDA,0.923445,Sí
Lic. en Economía,0.3500,Mujer,Pública,CDMX,0.239234,No
Ing. en Finanzas,0.2750,Hombre,Privada,GDA,0.846890,Sí
Lic. en Economía,0.4750,Hombre,Pública,CDMX,0.598086,Sí
Lic. en Actuaría,0.9250,Mujer,Privada,MTY,0.808612,Sí
Ing. en Finanzas,0.2500,Hombre,Pública,CDMX,0.645933,Sí
Ing. en Finanzas,0.1500,Mujer,Privada,MTY,0.631579,Sí
Ing. en Finanzas,0.1250,Hombre,Pública,CDMX,0.377990,Sí
Lic. en Economía,0.2000,Hombre,Privada,CDMX,0.684211,Sí
Lic. en Economía,0.4750,Mujer,Pública,MTY,0.143541,No
Lic. en Economía,0.3750,Hombre,Privada,CDMX,0.708134,Sí
Ing. en Finanzas,0.8750,Mujer,Privada,CDMX,0.622010,Sí
Lic. en Economía,0.1750,Hombre,Privada,CDMX,0.827751,Sí
Lic. en Economía,0.7500,Hombre,Pública,CDMX,0.521531,No
Ing. en Finanzas,0.4750,Hombre,Pública,CDMX,0.564593,Sí
Lic. en Economía,0.5500,Mujer,Pública,MTY,0.076555,No
Lic. en Economía,0.5000,Hombre,Pública,CDMX,0.468900,Sí
Lic. en Economía,0.8500,Hombre,Pública,MTY,0.430622,No
Lic. en Economía,0.8750,Mujer,Pública,CDMX,0.320574,No
Lic. en Economía,0.1250,Hombre,Pública,MTY,0.545455,No
Lic. en Actuaría,0.4500,Hombre,Privada,GDA,0.842105,Sí
Ing. en Finanzas,0.0500,Hombre,Pública,CDMX,0.387560,No
Ing. en Finanzas,0.3000,Mujer,Pública,CDMX,0.000000,No
Ing. en Finanzas,0.5750,Mujer,Pública,CDMX,0.330144,No
Lic. en Actuaría,0.3250,Mujer,Pública,CDMX,0.071770,No
Lic. en Economía,0.4250,Hombre,Pública,GDA,0.272727,No
Ing. en Finanzas,0.1750,Hombre,Pública,MTY,0.583732,Sí
Lic. en Economía,0.4250,Hombre,Pública,CDMX,0.368421,No
Lic. en Actuaría,0.2000,Hombre,Pública,MTY,0.703349,Sí
Ing. en Finanzas,0.3000,Hombre,Pública,CDMX,0.641148,Sí
Ing. en Finanzas,0.1750,Hombre,Privada,MTY,0.660287,Sí
Lic. en Economía,0.1500,Hombre,Privada,MTY,0.808612,Sí
Lic. en Economía,0.5750,Hombre,Pública,MTY,0.540670,Sí
Ing. en Finanzas,0.6000,Mujer,Pública,MTY,0.492823,Sí
Ing. en Finanzas,0.1000,Hombre,Privada,GDA,0.650718,Sí
Lic. en Economía,0.3000,Mujer,Privada,CDMX,0.478469,No
Ing. en Finanzas,0.3250,Hombre,Pública,MTY,0.622010,Sí
Ing. en Finanzas,0.7500,Hombre,Pública,CDMX,0.602871,Sí
Lic. en Economía,0.2250,Hombre,Pública,CDMX,0.253589,No
Ing. en Finanzas,0.1500,Hombre,Privada,CDMX,0.722488,Sí
Lic. en Economía,0.1250,Hombre,Privada,CDMX,0.851675,Sí
Ing. en Finanzas,0.5500,Hombre,Privada,GDA,0.866029,Sí
Lic. en Economía,0.6250,Hombre,Privada,CDMX,0.827751,Sí
Lic. en Economía,0.3000,Hombre,Pública,CDMX,0.502392,Sí
Lic. en Economía,0.0750,Mujer,Pública,MTY,0.062201,No
Ing. en Finanzas,0.2250,Hombre,Pública,CDMX,0.406699,Sí
Lic. en Economía,0.4000,Hombre,Pública,GDA,0.421053,No
Lic. en Economía,0.3000,Hombre,Pública,MTY,0.550239,Sí
Lic. en Economía,0.1750,Hombre,Pública,CDMX,0.545455,Sí
Lic. en Economía,0.5000,Mujer,Pública,CDMX,0.210526,No
Lic. en Economía,0.4750,Hombre,Pública,GDA,0.153110,No
Ing. en Finanzas,0.0250,Mujer,Pública,CDMX,0.220096,No
Ing. en Finanzas,0.2000,Hombre,Pública,GDA,0.411483,No
Lic. en Economía,0.3750,Hombre,Privada,CDMX,0.755981,Sí
Lic. en Economía,0.2000,Hombre,Pública,GDA,0.287081,No
Lic. en Economía,0.7000,Mujer,Privada,GDA,0.497608,Sí
Lic. en Actuaría,0.4500,Hombre,Pública,MTY,0.842105,Sí
Ing. en Finanzas,0.2000,Hombre,Pública,CDMX,0.507177,Sí
Lic. en Actuaría,0.7750,Hombre,Pública,MTY,0.794258,Sí
Lic. en Economía,0.7000,Hombre,Pública,MTY,0.674641,Sí
Ing. en Finanzas,0.2000,Hombre,Privada,CDMX,0.770335,Sí
Lic. en Economía,0.4250,Hombre,Pública,MTY,0.545455,No
Lic. en Economía,0.5250,Hombre,Pública,MTY,0.559809,Sí
Lic. en Economía,0.4750,Hombre,Privada,CDMX,0.684211,No
Lic. en Economía,0.2000,Hombre,Pública,CDMX,0.440191,No
Lic. en Economía,0.6500,Hombre,Pública,CDMX,0.468900,Sí
Lic. en Economía,0.3250,Hombre,Pública,GDA,0.435407,No
Ing. en Finanzas,0.5250,Hombre,Pública,CDMX,0.320574,No
Lic. en Economía,0.2000,Hombre,Pública,CDMX,0.397129,Sí
Ing. en Finanzas,0.1750,Mujer,Pública,CDMX,0.368421,No
Ing. en Finanzas,0.1750,Mujer,Privada,CDMX,0.617225,Sí
Ing. en Finanzas,0.9250,Hombre,Pública,CDMX,0.636364,Sí
Ing. en Finanzas,0.1750,Mujer,Pública,CDMX,0.220096,No
Lic. en Economía,0.4250,Hombre,Privada,CDMX,0.966507,Sí
Lic. en Actuaría,0.7250,Hombre,Pública,CDMX,0.550239,Sí
Lic. en Actuaría,0.3500,Hombre,Privada,MTY,0.985646,Sí
Lic. en Economía,0.3000,Hombre,Pública,CDMX,0.330144,No
Lic. en Economía,0.4250,Hombre,Pública,MTY,0.531100,No
Lic. en Economía,0.3500,Hombre,Pública,CDMX,0.430622,No
Lic. en Economía,0.8250,Mujer,Pública,CDMX,0.229665,No
Ing. en Finanzas,0.0500,Mujer,Pública,CDMX,0.244019,No
Ing. en Finanzas,0.4000,Hombre,Privada,CDMX,1.000000,Sí
Lic. en Economía,0.3000,Mujer,Pública,CDMX,0.311005,Sí
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
